codebook_idx,num_epochs,best_epoch,best_valid_loss,final_epoch,final_train_loss,final_valid_loss,best_ckpt,last_ckpt,train_log_csv,checkpoint_dir,best_ckpt_exists,last_ckpt_exists,final_train_ppl,best_epoch_train_ppl,final_valid_ppl,best_valid_ppl,vocab_size,seq_len,batch_size,epochs_arg,d_model,n_layers,n_heads,ffn_dim,lr
0,20,19,3.9537,20,3.835006,3.956033,/kaggle/working/speech_prediction_project/checkpoints/facodec_small_cb0/best.pt,/kaggle/working/speech_prediction_project/checkpoints/facodec_small_cb0/last.pt,/kaggle/working/speech_prediction_project/checkpoints/facodec_small_cb0/logs/train_log.csv,/kaggle/working/speech_prediction_project/checkpoints/facodec_small_cb0,True,True,46.293713,46.702429,52.24963,52.127872,1024,512,16,20,256,4,4,1024,0.0003
1,20,20,2.808983,20,2.737154,2.808983,/kaggle/working/speech_prediction_project/checkpoints/facodec_small_cb1/best.pt,/kaggle/working/speech_prediction_project/checkpoints/facodec_small_cb1/last.pt,/kaggle/working/speech_prediction_project/checkpoints/facodec_small_cb1/logs/train_log.csv,/kaggle/working/speech_prediction_project/checkpoints/facodec_small_cb1,True,True,15.442977,15.442977,16.593034,16.593034,1024,512,16,20,256,4,4,1024,0.0003
2,20,16,4.947916,20,4.824074,4.948161,/kaggle/working/speech_prediction_project/checkpoints/facodec_small_cb2/best.pt,/kaggle/working/speech_prediction_project/checkpoints/facodec_small_cb2/last.pt,/kaggle/working/speech_prediction_project/checkpoints/facodec_small_cb2/logs/train_log.csv,/kaggle/working/speech_prediction_project/checkpoints/facodec_small_cb2,True,True,124.471123,130.92877,140.915583,140.881066,1024,512,16,20,256,4,4,1024,0.0003
3,20,14,5.663816,20,5.431603,5.674829,/kaggle/working/speech_prediction_project/checkpoints/facodec_small_cb3/best.pt,/kaggle/working/speech_prediction_project/checkpoints/facodec_small_cb3/last.pt,/kaggle/working/speech_prediction_project/checkpoints/facodec_small_cb3/logs/train_log.csv,/kaggle/working/speech_prediction_project/checkpoints/facodec_small_cb3,True,True,228.515161,251.736345,291.43857,288.246385,1024,512,16,20,256,4,4,1024,0.0003
4,20,14,5.754472,20,5.607074,5.771557,/kaggle/working/speech_prediction_project/checkpoints/facodec_small_cb4/best.pt,/kaggle/working/speech_prediction_project/checkpoints/facodec_small_cb4/last.pt,/kaggle/working/speech_prediction_project/checkpoints/facodec_small_cb4/logs/train_log.csv,/kaggle/working/speech_prediction_project/checkpoints/facodec_small_cb4,True,True,272.346222,294.19258,321.037267,315.598986,1024,512,16,20,256,4,4,1024,0.0003
5,20,13,5.566537,20,5.398494,5.588827,/kaggle/working/speech_prediction_project/checkpoints/facodec_small_cb5/best.pt,/kaggle/working/speech_prediction_project/checkpoints/facodec_small_cb5/last.pt,/kaggle/working/speech_prediction_project/checkpoints/facodec_small_cb5/logs/train_log.csv,/kaggle/working/speech_prediction_project/checkpoints/facodec_small_cb5,True,True,221.073271,237.247654,267.42169,261.526899,1024,512,16,20,256,4,4,1024,0.0003
