system,file,num_rows,num_ok,num_error,mse_mean,mse_std,mse_median,mae_mean,mae_std,mae_median,rmse_mean,rmse_std,rmse_median,snr_db_mean,snr_db_std,snr_db_median,si_sdr_db_mean,si_sdr_db_std,si_sdr_db_median,duration_sec_mean,duration_sec_std,duration_sec_median,elapsed_sec_mean,elapsed_sec_std,elapsed_sec_median
EnCodec oracle small16,outputs\encodec_oracle_small16_results.csv,16,16,0,8.43644847918659e-05,4.3927419201983606e-05,6.987405140534975e-05,0.004830275735002901,0.0009361066929131745,0.0046316590160131,0.008937299581215363,0.002188250074065839,0.0083588734539996,3.6176014724256014,0.7285446992538925,3.570707970013567,2.0716766896657646,1.0524153040803297,1.977396085858345,8.266677083333333,3.1514232868635896,8.712020833333334,0.11119543015956876,0.033835370681912724,0.11365485191345209
FACodec oracle small16,outputs\facodec_oracle_small16_results.csv,16,16,0,0.00010302687496730385,3.4906689086053945e-05,9.623950973036699e-05,0.005826700566103644,0.0008908760585944902,0.0061423955485223995,0.010025643433773657,0.0016373470269211848,0.0098101723925977,2.5138530906410343,0.6907673051041056,2.319918215957432,-0.19668416440254077,1.2811381841886949,-0.5161529220640659,8.26666796875,3.151421642466066,8.712,0.32885321974754333,0.11407845859321328,0.3414292335510254
